"id","date_start","date_end","event_type","event_recurs","event_name","slug","location","lat","lng","location_accuracy","is_in_barcelona","url","event_notes"
"28",2022-06-13,2022-06-26,"LGBT Festival",true,"Pride BCN 2022","pride-bcn-2022","Barcelona - Various",41.3873974,2.168568,2,true,"https://www.pridebarcelona.org/",""
"29",2022-06-14,2022-06-19,"Festa Major",true,"Festa Major de Can Baró 2022","festa-major-de-can-bar-2022","Can Baró - Various",41.4167029,2.1628427,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"30",2022-06-15,2022-06-19,"Local / Neighbourhood Festival",true,"La Patum de Berga","la-patum-de-berga","Berga",42.1012595,1.8439221,3,false,"https://www.lapatum.cat/",""
"31",2022-06-16,2022-06-18,"Festa Major",true,"Festa Major de Baró de Viver 2022","festa-major-de-bar-de-viver-2022","Baró de Viver - Various",41.4468712,2.1982255,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"32",2022-06-16,2022-06-18,"Music Festival",true,"Sonar Festival 2022","sonar-festival-2022","Barcelona - Various",41.3873974,2.168568,3,true,"https://sonar.es/",""
"33",2022-06-16,2022-06-19,"Culture / Arts Festival",false,"Salón Erótico de Barcelona 2022","sal-n-er-tico-de-barcelona-2022","Pavelló de la Vall d'Hebron",41.4275813,2.1470255,1,true,"https://www.barcelonayellow.com/bcn-events-calendar/details/999-salon-erotico-erotic-fair-barcelona",""
"34",2022-06-16,2022-06-23,"Festa Major",false,"Festa Major de Can Peguera 2022","festa-major-de-can-peguera-2022","Can Peguera - Various",41.4352711,2.1656717,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"35",2022-06-17,2022-06-19,"Festa Major",true,"Festa Major de la Pau 2022","festa-major-de-la-pau-2022","La Pau - Various",41.4234292,2.2060735,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"36",2022-06-17,2022-06-19,"Festa Major",true,"Festa Major de Sant Gervasi - la Bonanova 2022","festa-major-de-sant-gervasi-la-bonanova-2022","Plaça Bonanova",41.4065683,2.1335137,1,true,"https://www.fmsantgervasi.com/",""
"37",2022-06-17,2022-06-26,"Festa Major",true,"Festa Major del Besòs i el Maresme 2022","festa-major-del-bes-s-i-el-maresme-2022","Besòs i el Maresme - Various",41.4167049,2.2141565,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"38",2022-06-19,2022-06-19,"Sporting Festival / Event",true,"Festa de la Bicicleta 2022","festa-de-la-bicicleta-2022","Starts at Carrer d'Aragó with Roger de Flor",41.3984137,2.1731962,1,true,"https://ajuntament.barcelona.cat/bicicleta/es",""
"39",2022-06-22,2022-06-26,"Festa Major",true,"Festa Major de la Marina 2022","festa-major-de-la-marina-2022","Marina - Various",41.3930741,2.1924475,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
"40",2022-06-23,2022-06-24,"Local / Neighbourhood Festival",true,"Sant Joan Festival","sant-joan-festival","Barcelona",41.3873974,2.168568,3,true,"https://www.barcelona.cat/culturapopular/en/festivals-and-traditions/nit-de-sant-joan","Night of the 23rd only"
"41",2022-06-26,2022-06-26,"Open Day / Weekend",true,"Discover the Sea Floor","discover-the-sea-floor","Museu Marítim Avinguda de les Drassanes, 08001 Barcelona",41.3758504,2.1761781,1,true,"https://www.mmb.cat/es/actividades/viaje-al-fondo-del-mar-en-batiscafo-9/","Also: Jul 24, 2022 11:30 AM to 12:30 PM"
"42",2022-06-27,2022-07-03,"Festa Major",true,"Festa Major del Camp d’en Grassot i Gràcia Nova 2022","festa-major-del-camp-d-en-grassot-i-gr-cia-nova-2022","Camp d'en Grassot and Gràcia Nova",41.4039537,2.1669764,2,true,"https://ajuntament.barcelona.cat/ccivics/lasedeta/p/47470/festa-major-del-camp-den-grassot-2022",""
"43",2022-06-28,2022-07-03,"Festa Major",true,"Festes Major de Rubi","festes-major-de-rubi","Rubí",41.488384,2.0166808,3,false,"https://www.rubi.cat/es/temas/cultura/fiestas-y-tradiciones/fiesta-mayor-de-sant-pere",""
"44",2022-06-30,2022-07-02,"Music Festival",true,"VIDA Festival 2022","vida-festival-2022","Vilanova i la Geltrú",41.2151504,1.727446,3,false,"https://www.en.vidafestival.com/",""
"45",2022-07-01,2022-07-03,"Festa Major",true,"Festa Major de la Vila Olímpica 2022","festa-major-de-la-vila-ol-mpica-2022","Vila Olímpica - Various",41.3930156,2.1962075,2,true,"https://beteve.cat/cultura/festes-majors-barcelona-barris/",""
